"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"66","Daucus glochidiatus",15,"E",2,16,20,36,0,0,0,0,0,0,0,0,0,0
"67","Daucus glochidiatus",16,"E",3,17,6,23,0,0,0,0,0,0,0,0,0,0
"68","Daucus glochidiatus",12,"E",1,17,12,29,0,0,0,0,0,0,0,0,0,0
"69","Daucus glochidiatus",13,"C",3,18,12,30,0,0,0,0,1,0,0,4,1,4
"70","Daucus glochidiatus",10,"C",2,21,12,33,0,0,0,0,0,0,0,0,0,29
"71","Daucus glochidiatus",8,"E",1,22,8,30,0,0,0,0,0,0,0,0,0,0
"72","Daucus glochidiatus",1,"C",1,23,4,27,0,2,0,0,0,0,0,0,0,26
"73","Daucus glochidiatus",12,"C",3,23,18,41,0,0,0,0,12,0,0,0,0,18
"74","Daucus glochidiatus",7,"E",1,24,2,26,0,0,0,0,0,0,0,0,0,0
"75","Daucus glochidiatus",16,"E",2,24,14,38,0,0,0,0,0,0,0,0,0,0
"76","Daucus glochidiatus",6,"C",1,25,0,25,0,0,2,0,0,0,0,12,1,23
"77","Daucus glochidiatus",14,"E",3,26,8,34,0,0,0,0,0,0,0,0,0,0
"78","Daucus glochidiatus",14,"C",2,30,4,34,0,0,3,0,0,0,0,0,1,15
"79","Daucus glochidiatus",4,"E",1,30,8,38,0,0,0,0,0,0,0,0,0,0
"80","Daucus glochidiatus",13,"E",1,31,6,37,0,0,0,0,0,0,0,0,0,0
"81","Daucus glochidiatus",14,"E",2,31,16,47,0,0,0,0,0,0,0,0,0,0
"82","Daucus glochidiatus",1,"E",2,33,2,35,0,0,0,0,0,0,0,0,0,0
"83","Daucus glochidiatus",15,"E",3,36,10,46,0,0,0,0,0,0,0,0,0,0
"84","Daucus glochidiatus",14,"E",1,37,6,43,0,0,0,0,0,0,0,0,0,0
"85","Daucus glochidiatus",8,"E",3,39,4,43,0,0,0,0,0,0,0,0,0,0
"86","Daucus glochidiatus",14,"C",1,41,0,41,0,0,7,0,0,0,0,0,2,11
"87","Daucus glochidiatus",14,"C",3,49,6,55,0,0,0,0,0,0,0,0,3,12
"88","Daucus glochidiatus",9,"C",3,49,10,59,0,0,2,0,0,0,3,0,0,7
