"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"69","Podolepis canescens",7,"E",1,169,692,861,0,0,0,0,0,0,0,0,0,0
"70","Podolepis canescens",14,"E",3,170,395,565,0,0,0,0,0,0,0,0,0,0
"71","Podolepis canescens",6,"C",2,173,220,393,0,0,0,0,0,0,0,0,1,6
"72","Podolepis canescens",15,"C",3,177,331,508,0,0,2,0,6,1,0,8,0,8
"73","Podolepis canescens",1,"E",2,178,1011,1189,0,0,0,0,0,0,0,0,0,0
"74","Podolepis canescens",14,"C",3,205,442,647,0,0,0,0,0,0,0,5,2,12
"75","Podolepis canescens",9,"E",1,212,287,499,0,0,0,0,0,0,0,0,0,0
"76","Podolepis canescens",1,"C",3,216,400,616,0,0,0,0,0,0,0,0,3,33
"77","Podolepis canescens",1,"C",2,238,704,942,0,0,0,0,0,0,0,0,0,22
"78","Podolepis canescens",7,"E",3,245,291,536,0,0,0,0,0,0,0,0,0,0
"79","Podolepis canescens",6,"C",1,251,1496,1747,0,0,0,0,0,0,0,0,1,10
"80","Podolepis canescens",8,"E",2,253,450,703,0,0,0,0,0,0,0,0,0,0
"81","Podolepis canescens",9,"C",3,275,316,591,0,0,1,0,12,0,0,0,1,17
"82","Podolepis canescens",16,"E",1,286,414,700,0,0,0,0,0,0,0,0,0,0
"83","Podolepis canescens",7,"C",2,295,335,630,0,1,0,0,7,0,0,4,0,6
"84","Podolepis canescens",14,"C",2,326,281,607,0,0,0,0,0,0,0,3,3,5
"85","Podolepis canescens",9,"E",3,359,927,1286,0,0,0,0,0,0,0,0,0,0
"86","Podolepis canescens",11,"E",3,371,559,930,0,0,0,0,0,0,0,0,0,0
"87","Podolepis canescens",11,"C",2,411,889,1300,0,0,0,0,0,0,0,0,0,23
"88","Podolepis canescens",12,"E",2,422,520,942,0,0,0,0,0,0,0,0,0,0
"89","Podolepis canescens",11,"C",1,482,547,1029,0,0,0,0,1,0,0,0,0,13
"90","Podolepis canescens",11,"E",2,624,884,1508,0,0,0,0,0,0,0,0,0,0
"91","Podolepis canescens",7,"E",2,899,765,1664,0,0,0,0,0,0,0,0,0,0
