"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"65","Trachymene cyanopetala",6,"C",3,40,0,40,0,0,0,1,0,0,0,0,5,20
"66","Trachymene cyanopetala",9,"E",3,40,2,42,0,0,0,0,0,0,0,0,0,0
"67","Trachymene cyanopetala",3,"E",3,41,0,41,0,0,0,0,0,0,0,0,0,0
"68","Trachymene cyanopetala",5,"C",1,41,0,41,0,0,0,2,1,0,0,2,4,19
"69","Trachymene cyanopetala",18,"C",1,43,0,43,0,0,0,0,7,0,0,0,3,5
"70","Trachymene cyanopetala",4,"E",3,44,0,44,0,0,0,0,0,0,0,0,0,0
"71","Trachymene cyanopetala",12,"E",1,46,0,46,0,0,0,0,0,0,0,0,0,0
"72","Trachymene cyanopetala",16,"E",1,47,0,47,0,0,0,0,0,0,0,0,0,0
"73","Trachymene cyanopetala",19,"E",2,50,0,50,0,0,0,0,0,0,0,0,0,0
"74","Trachymene cyanopetala",19,"E",3,50,0,50,0,0,0,0,0,0,0,0,0,0
"75","Trachymene cyanopetala",3,"C",3,53,6,59,0,0,0,0,6,0,0,0,5,10
"76","Trachymene cyanopetala",20,"C",2,58,8,66,0,1,0,0,5,0,0,0,7,2
"77","Trachymene cyanopetala",13,"E",3,59,2,61,0,0,0,0,0,0,0,0,0,0
"78","Trachymene cyanopetala",13,"E",2,59,4,63,0,0,0,0,0,0,0,0,0,0
"79","Trachymene cyanopetala",7,"C",2,60,0,60,0,0,0,0,14,0,0,0,0,8
"80","Trachymene cyanopetala",17,"E",2,60,0,60,0,0,0,0,0,0,0,0,0,0
"81","Trachymene cyanopetala",5,"E",3,62,0,62,0,0,0,0,0,0,0,0,0,0
"82","Trachymene cyanopetala",16,"E",2,63,2,65,0,0,0,0,0,0,0,0,0,0
"83","Trachymene cyanopetala",15,"C",3,65,4,69,0,0,0,0,2,0,0,3,0,41
"84","Trachymene cyanopetala",17,"C",2,67,0,67,0,0,0,3,0,0,0,0,11,32
"85","Trachymene cyanopetala",17,"E",1,69,0,69,0,0,0,0,0,0,0,0,0,0
"86","Trachymene cyanopetala",16,"E",3,69,2,71,0,0,0,0,0,0,0,0,0,0
"87","Trachymene cyanopetala",2,"E",2,75,0,75,0,0,0,0,0,0,0,0,0,0
"88","Trachymene cyanopetala",10,"E",1,76,0,76,0,0,0,0,0,0,0,0,0,0
"89","Trachymene cyanopetala",7,"E",3,77,0,77,0,0,0,0,0,0,0,0,0,0
"90","Trachymene cyanopetala",2,"E",3,78,4,82,0,0,0,0,0,0,0,0,0,0
"91","Trachymene cyanopetala",14,"E",2,78,12,90,0,0,0,0,0,0,0,0,0,0
"92","Trachymene cyanopetala",7,"C",1,86,0,86,0,0,0,0,4,0,0,0,0,11
"93","Trachymene cyanopetala",2,"E",1,86,2,88,0,0,0,0,0,0,0,0,0,0
"94","Trachymene cyanopetala",19,"C",3,88,4,92,0,0,0,2,3,0,0,2,0,13
"95","Trachymene cyanopetala",19,"C",2,92,0,92,0,0,0,1,4,0,0,2,0,13
"96","Trachymene cyanopetala",8,"C",3,95,4,99,0,0,15,0,0,0,0,0,5,17
"97","Trachymene cyanopetala",13,"C",1,96,0,96,0,0,0,0,6,0,0,1,0,40
"98","Trachymene cyanopetala",12,"C",3,98,4,102,0,0,0,0,16,0,0,0,3,0
"99","Trachymene cyanopetala",7,"E",2,102,2,104,0,0,0,0,0,0,0,0,0,0
"100","Trachymene cyanopetala",14,"C",3,108,2,110,0,0,0,1,1,0,0,2,2,7
"101","Trachymene cyanopetala",20,"E",3,131,10,141,0,0,0,0,0,0,0,0,0,0
"102","Trachymene cyanopetala",13,"E",1,144,8,152,0,0,0,0,0,0,0,0,0,0
"103","Trachymene cyanopetala",15,"E",3,149,16,165,0,0,0,0,0,0,0,0,0,0
"104","Trachymene cyanopetala",7,"C",3,159,10,169,0,0,0,0,0,0,0,0,0,0
"105","Trachymene cyanopetala",2,"C",2,173,0,173,0,0,0,0,7,0,0,0,0,2
"106","Trachymene cyanopetala",15,"C",2,180,4,184,0,0,0,0,0,0,0,4,2,9
"107","Trachymene cyanopetala",10,"E",2,184,0,184,0,0,0,0,0,0,0,0,0,0
"108","Trachymene cyanopetala",15,"E",1,202,10,212,0,0,0,0,0,0,0,0,0,0
"109","Trachymene cyanopetala",2,"C",1,279,0,279,0,0,0,0,14,0,0,0,0,0
