"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Waitzia acuminata","intra","other"
"66","Pentameris airoides",13,"C",2,338,0,338,0,0,0,0,0,2,0,0,0,3,48
"67","Pentameris airoides",4,"E",2,344,0,344,0,0,0,0,0,0,0,0,0,0,0
"68","Pentameris airoides",12,"C",2,344,0,344,0,0,0,0,0,1,0,0,0,3,6
"69","Pentameris airoides",11,"E",1,348,0,348,0,0,0,0,0,0,0,0,0,0,0
"70","Pentameris airoides",1,"C",2,376,0,376,3,0,0,2,0,0,2,4,1,8,43
"71","Pentameris airoides",3,"E",3,396,0,396,0,0,0,0,0,0,0,0,0,0,0
"72","Pentameris airoides",2,"E",3,410,0,410,0,0,0,0,0,0,0,0,0,0,0
"73","Pentameris airoides",9,"E",1,410,0,410,0,0,0,0,0,0,0,0,0,0,0
"74","Pentameris airoides",16,"E",2,470,0,470,0,0,0,0,0,0,0,0,0,0,0
"75","Pentameris airoides",15,"E",1,492,0,492,0,0,0,0,0,0,0,0,0,0,0
"76","Pentameris airoides",5,"E",2,494,0,494,0,0,0,0,0,0,0,0,0,0,0
"77","Pentameris airoides",13,"E",2,498,0,498,0,0,0,0,0,0,0,0,0,0,0
"78","Pentameris airoides",13,"C",1,498,0,498,0,0,0,0,1,2,0,0,0,3,25
"79","Pentameris airoides",4,"E",1,532,0,532,0,0,0,0,0,0,0,0,0,0,0
"80","Pentameris airoides",15,"C",1,682,0,682,0,0,0,0,0,0,0,0,0,0,0
"81","Pentameris airoides",12,"E",1,728,0,728,0,0,0,0,0,0,0,0,0,0,0
"82","Pentameris airoides",3,"E",2,896,0,896,0,0,0,0,0,0,0,0,0,0,0
"83","Pentameris airoides",12,"E",2,1020,0,1020,0,0,0,0,0,0,0,0,0,0,0
"84","Pentameris airoides",3,"E",1,1174,0,1174,0,0,0,0,0,0,0,0,0,0,0
