species.code,treatment,open_shade,block,soil_p,date.collected,date.processed,date.gc,expected,present,spent.1,dead.1,well,notes.1,date.germ.remove.1,germ.1,germ.2,dead.2,spent.2,num.left,dead.3,num.stained,date.tz,viable,dead.4,spent.3,total.num.viable,total.num.dead,total,NOTES,G,S
MEDI,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,17,0,0,17,,NA,0,2,0,0,15,0,15,0,15,0,0,17,0,17,,0,1
PEAI,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,15,0,0,15,plus 3 germinated in different section,NA,0,15,0,0,0,0,0,0,0,0,0,15,0,15,,0,1
PLDE,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,17,2,0,15,,NA,0,15,0,0,0,0,0,0,0,0,0,17,0,17,,0.117647059,0.882352941
POCA,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,20,3,0,17,,NA,0,9,3,0,5,2,3,0,3,0,0,15,5,20,,0.15,0.6
POLE,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,12,4,0,8,,NA,0,5,0,0,3,3,0,0,0,0,0,9,3,12,,0.333333333,0.416666667
PTGA,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,20,2,0,18,,NA,0,4,1,0,13,3,10,0,10,0,0,16,4,20,,0.1,0.7
TRCY,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,20,0,0,20,,NA,0,1,0,0,19,2,17,0,6,9,2,9,11,20,,0.1,0.35
TROR,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,20,0,0,20,,NA,0,0,5,0,15,0,15,0,3,12,0,3,17,20,,0,0.15
VECY,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,20,0,0,20,,NA,0,0,0,0,20,3,17,0,7,10,0,7,13,20,,0,0.35
VERO,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,19,0,0,19,,NA,0,1,0,0,18,1,17,0,13,4,0,14,5,19,,0,0.736842105
WAAC,wet,s,4,37.1,12/10/17,22/11/17,13/2/18,20,20,0,0,20,,NA,0,1,1,8,10,9,1,0,0,1,0,9,11,20,,0.4,0.05
