focal.species,plot,treatment,subplot,mature,immature,survival.to.reproduction,notes,inflorescences,inviable
Trachymene ornata,19,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,21,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,21,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,21,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,21,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,21,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,22,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,22,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,22,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,22,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,22,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,24,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,24,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,24,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,24,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,24,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,24,C,3,NA,NA,NA,cyanopetala,NA,NA
Podolepis canescens,13,E,1,0,0,no,DEAD,NA,NA
Trachymene cyanopetala,16,C,3,NA,NA,NA,DEAD (but unsure about species),NA,NA
Trachymene ornata,16,C,3,NA,NA,NA,DEAD (but unsure about species),NA,NA
Arctotheca calendula,6,C,1,NA,NA,yes,double up,NA,NA
Velleia rosea,7,C,1,NA,NA,NA,double up,NA,NA
Trachymene ornata,23,C,2,110,0,yes,DOUBLE UP C2,NA,21
Trachymene ornata,23,C,3,75,0,yes,DOUBLE UP C2,NA,24
Podolepis canescens,8,C,2,5,182,yes,double up of c2 (roughly same numbers so randomly assigned to C1 and C2),NA,NA
Podolepis canescens,8,E,2,253,450,yes,DOUBLE UP OF ES (randomly assigned e2 and e3 from double up of e2,NA,NA
Plantago debilis,1,C,2,0,0,yes,eaten,NA,0
Plantago debilis,3,C,3,0,0,yes,eaten,NA,0
Plantago debilis,5,C,2,0,0,yes,eaten,NA,0
Velleia rosea,16,C,3,NA,NA,NA,Goodenia pussiliflora,NA,NA
Hyalosperma glutinosum,14,E,3,NA,NA,NA,HYGL14E3 but PLDE in it,NA,NA
Daucus glochidiatus,6,E,1,12,NA,yes,immatures not counted,NA,NA
